Surname             First name          Subject        Average
Todoran             Temistocle          Anathomy        9.00
Todoran             Temistocle          Anathomy        9.00
Todoran             Temistocle          Anathomy        9.00
Popa                Ioana               Anathomy        8.00
Popa                Ioana               Anathomy        8.00
Popa                Ioana               Anathomy        8.00
Popescu             Jennifer            Anathomy        5.00
Popescu             Jennifer            Anathomy        5.00
Popescu             Jennifer            Anathomy        5.00
Moldovan            Stefan              Anathomy        0.00
Ionescu             Gelu                Anathomy        0.00
Rebengiuc           Victor              Anathomy        0.00
Radulescu           Ana-Maria           Anathomy        0.00
Moldovan            Stefan              Anathomy        0.00
Rebengiuc           Victor              Anathomy        0.00
Moldovan            Stefan              Anathomy        0.00
Radulescu           Ana-Maria           Anathomy        0.00
Tanase              Ceorgeta            Anathomy        0.00
Tanase              Ceorgeta            Anathomy        0.00
Ionescu             Gelu                Anathomy        0.00
Muresan             Ionel               Anathomy        0.00
Tanase              Ceorgeta            Anathomy        0.00
Rebengiuc           Victor              Anathomy        0.00
Muresan             Ionel               Anathomy        0.00
Popa                Ioana               Anathomy        0.00
Ionescu             Gelu                Anathomy        0.00
Popa                Ioana               Anathomy        0.00
Popa                Ioana               Anathomy        0.00
Radulescu           Ana-Maria           Anathomy        0.00
Muresan             Ionel               Anathomy        0.00
Popa                Ioana               Chemistry      10.00
Popa                Ioana               Chemistry      10.00
Popa                Ioana               Chemistry      10.00
Moldovan            Stefan              Chemistry       6.00
Moldovan            Stefan              Chemistry       6.00
Moldovan            Stefan              Chemistry       6.00
Popa                Ioana               Chemistry       5.00
Popa                Ioana               Chemistry       5.00
Popa                Ioana               Chemistry       5.00
Radulescu           Ana-Maria           Chemistry       0.00
Ionescu             Gelu                Chemistry       0.00
Ionescu             Gelu                Chemistry       0.00
Ionescu             Gelu                Chemistry       0.00
Radulescu           Ana-Maria           Chemistry       0.00
Radulescu           Ana-Maria           Chemistry       0.00
Muresan             Ionel               Chemistry       0.00
Muresan             Ionel               Chemistry       0.00
Muresan             Ionel               Chemistry       0.00
Todoran             Temistocle          Chemistry       0.00
Todoran             Temistocle          Chemistry       0.00
Todoran             Temistocle          Chemistry       0.00
Rebengiuc           Victor              Chemistry       0.00
Rebengiuc           Victor              Chemistry       0.00
Rebengiuc           Victor              Chemistry       0.00
Tanase              Ceorgeta            Chemistry       0.00
Tanase              Ceorgeta            Chemistry       0.00
Tanase              Ceorgeta            Chemistry       0.00
Popescu             Jennifer            Chemistry       0.00
Popescu             Jennifer            Chemistry       0.00
Popescu             Jennifer            Chemistry       0.00
Popa                Ioana               English         8.00
Popa                Ioana               English         8.00
Popa                Ioana               English         8.00
Ionescu             Gelu                English         7.00
Ionescu             Gelu                English         7.00
Ionescu             Gelu                English         7.00
Radulescu           Ana-Maria           English         6.00
Radulescu           Ana-Maria           English         6.00
Radulescu           Ana-Maria           English         6.00
Popa                Ioana               English         0.00
Popescu             Jennifer            English         0.00
Popescu             Jennifer            English         0.00
Muresan             Ionel               English         0.00
Rebengiuc           Victor              English         0.00
Muresan             Ionel               English         0.00
Rebengiuc           Victor              English         0.00
Popescu             Jennifer            English         0.00
Popa                Ioana               English         0.00
Popa                Ioana               English         0.00
Tanase              Ceorgeta            English         0.00
Moldovan            Stefan              English         0.00
Todoran             Temistocle          English         0.00
Moldovan            Stefan              English         0.00
Todoran             Temistocle          English         0.00
Muresan             Ionel               English         0.00
Todoran             Temistocle          English         0.00
Rebengiuc           Victor              English         0.00
Tanase              Ceorgeta            English         0.00
Moldovan            Stefan              English         0.00
Tanase              Ceorgeta            English         0.00
Popescu             Jennifer            History         9.00
Popescu             Jennifer            History         9.00
Muresan             Ionel               History         9.00
Popescu             Jennifer            History         9.00
Muresan             Ionel               History         9.00
Muresan             Ionel               History         9.00
Tanase              Ceorgeta            History         7.00
Tanase              Ceorgeta            History         7.00
Tanase              Ceorgeta            History         7.00
Popa                Ioana               History         0.00
Popa                Ioana               History         0.00
